"Participant","Age","Gender","AttractivenessBias","BAIT","MIST","BRS","AttentionChecks"
"S062",19,"Woman",-0.0230555555555556,1.92857142857143,0.375,1.7,1
"S063",19,"Woman",0.0597222222222222,3,0.375,1.2,1
"S064",20,"Woman",0.0913888888888889,2.5,0.375,2.6,0.5
"S065",21,"Woman",0.09,3.5,0.5,1.7,0.5
"S066",32,"Woman",-0.0280555555555556,2.78571428571429,0.25,1,0.5
"S067",22,"Non-binary",0.0152777777777778,2.78571428571429,0.5,3.2,1
"S068",21,"Man",0.0347222222222222,3.07142857142857,0.375,2.3,1
"S069",21,"Woman",-0.0369444444444444,3.92857142857143,0.5,2.3,1
"S070",21,"Woman",0.00583333333333336,2.57142857142857,0.375,3,1
"S071",19,"Woman",0.154166666666667,1.92857142857143,0.5,1.8,1
"S072",19,"Woman",0.0294444444444444,2.07142857142857,0.875,1.8,1
"S073",20,"Woman",0.03,2.64285714285714,0.5,2.7,1
"S074",19,"Man",-0.0283333333333334,2.07142857142857,0.5,3,0.5
"S075",21,"Man",0.0827777777777778,2.92857142857143,0.875,3.2,1
"S076",19,"Woman",0.109722222222222,2.57142857142857,0.625,2.4,1
"S077",19,"Woman",-0.0991666666666667,3.35714285714286,0.625,2.4,1
"S078",19,"Woman",0.0369444444444444,2.28571428571429,0.375,2.2,1
"S079",19,"Woman",0.0522222222222222,2.42857142857143,0.75,2.5,1
"S080",20,"Woman",0.0508333333333333,1.21428571428571,0.5,3,1
"S081",20,"Woman",0.000833333333333353,3.78571428571429,0.375,3.7,0.5
"S082",20,"Woman",0.0491666666666667,2,0.375,2.5,1
"S083",19,"Woman",0.146666666666667,2.85714285714286,0.375,2.7,0
"S084",19,"Woman",0.0572222222222222,2.28571428571429,0.5,2.1,1
"S085",19,"Woman",0.00944444444444448,3.14285714285714,0.25,2.1,1
"S086",20,"Non-binary",0.0441666666666667,2.35714285714286,0.375,2.3,1
"S087",21,"Woman",0.144166666666667,2.07142857142857,0.5,2.5,0.5
"S088",21,"Woman",0.0544444444444445,2.64285714285714,0.5,1.9,1
"S089",19,"Woman",0.1475,4.21428571428571,0.625,2.7,1
"S090",19,"Woman",-0.0852777777777778,1,0.5,1.5,1
"S091",19,"Woman",-0.0322222222222223,2.78571428571429,0.625,4.1,1
"S092",20,"Woman",0.0972222222222222,2.28571428571429,0.5,2.4,1
"S093",37,"Woman",0.0672222222222222,2.28571428571429,0.375,3.6,1
"S094",21,"Woman",-0.129444444444444,1.28571428571429,0.5,2,1
"S095",21,"Woman",0.0969444444444444,2.85714285714286,0.375,1.8,1
"S096",19,"Woman",0.0508333333333333,3.42857142857143,0.375,3.2,1
"S097",20,"Non-binary",0.0658333333333334,2.85714285714286,0.375,1.3,1
"S098",19,"Woman",0.175833333333333,2.71428571428571,0.25,2.5,1
"S099",19,"Woman",0.0447222222222222,3,0.125,2,1
"S100",20,"Woman",0.0577777777777778,2.92857142857143,0.5,3.8,0.5
"S101",21,"Woman",0.0205555555555555,2.07142857142857,0.5,4,1
"S102",19,"Woman",0.00277777777777777,2.28571428571429,0.375,2.1,0.5
"S103",20,"Woman",0.0502777777777778,1.21428571428571,0.5,1.6,1
"S104",20,"Woman",-0.0933333333333333,3.21428571428571,0.5,3.1,0.5
"S105",20,"Woman",0.0708333333333333,3.42857142857143,0.75,3,1
"S106",19,"Woman",-0.0288888888888889,3.5,0.875,2.7,1
"S107",20,"Woman",0.0511111111111111,3.42857142857143,0.625,3.5,1
"S108",20,"Non-binary",0.0180555555555556,2.21428571428571,0.5,2.9,1
"S109",19,"Woman",0.0325,3.07142857142857,0.25,1.4,0.5
"S110",19,"Woman",-0.135,3.57142857142857,0.375,1.9,1
"S111",20,"Woman",-0.0361111111111111,2.78571428571429,0.625,2.6,1
"S112",19,"Woman",-0.0230555555555556,1.85714285714286,0.5,1.1,1
